기타_용도_분리,Total_Count
검사실,406
검차장,405
도시형다세대주택,404
인쇄공장,401
조산원,401
방제실,400
놀이방,399
일반,399
노래연습실,397
목재건구제조업,397
기,397
기타야영장시설,396
원룸형2세대,395
4호실,395
세대,395
수산물보관창고,395
엘레베이터,395
산업시설,394
숙박,394
청소년수련시설,392
데크,392
차량용승강기,391
기타학교,391
계단실및elev,390
기타종교시설,390
건축,390
정육점,389
경사로,389
급식시설,387
가구,387
송풍기실,387
무도장,387
양생실,386
공동창고,383
농산물가공,382
노인요양원,382
20세대,381
궁도장,381
7객실,380
장애인화장실,379
l,379
지상주차장,379
정비소,378
주택4가구,378
미포함,378
농수산물가공처리시설,378
이용소,377
공장및사무실,377
20호,377
301호,376
주민센터,376
위험물저장시설,375
원룸형6세대,375
부대복리시설,375
근린생할시설,374
방재센타,374
계단및화장실,373
공공청사,373
업무시설용,372
보육원,371
15세대,371
고압가스충전소,371
14호,371
과학관,370
서원,370
입주자집회소,369
사무실및,369
도시형주택,368
농업창고,368
구내통신실,368
아파트용,367
통제실,367
충전소,366
유선각,366
비가림,366
1976,365
제조실,365
물품창고,365
10실,365
벽체공용,365
배수펌프장,364
통신용,363
에스컬레이터,362
포,362
본관동,361
건강관리실,361
사무실및창고,361
도시형생활주택단지형다세대주택,360
evel,360
공작실,360
민원실,359
경,359
여객자동차터미널,359
15호,358
후생복지시설,356
2동,356
진료소,355
농업용저온저장고,355
지하주출입구연결통로,354
체육장,354
물리치료실,354
음악실,352
계단및물탱크실,352
취사시설,352
계분장,352
장독대,352
소매점및주택,351
선과장,351
출하실,351
농산물건조장,351
삼문,350
짚창고,350
미등기,350
창고및주택,350
잎담배공동건조장,349
냉동,349
전기자동차충전소,348
축사및,348
화,348
아파트2세대,348
자원순환시설,348
제2종근린생할시설,347
보관소,346
전기기계실,346
야영장,346
단독주택3가구,345
영업시설,345
고압가스판매소,345
노인당,344
일반게임제공업,344
유아실,344
숙사,343
기타가축시설,341
실습장,340
단지형다세대3세대,340
원룸형5세대,340
쓰레기집하장,340
외부계단실,340
압축기실,340
화장실등,340
스크린골프연습장,339
숲속의집,339
수전실,338
소개업소,338
위험물저장및,337
배드민턴장,337
